APPLICANT_ID,INGRESO_MENSUAL,GASTOS_FAMILIARES,OTROS_INGRESOS,INGRESO_NETO,DEPENDIENTES,VENTAS,EDAD,MONTO_MENSUAL_VENTA,COMPRAS,DELEGACION,DELEGACION_NEGOCIO,ESCOLARIDAD,ESTADO,ESTADO_CIVIL,ESTADO_NEGOCIO,SEXO,SUCURSAL,TIPO_NEGOCIO,TIPO_VIVIENDA
163592,6296,1700,0,6296,0,5000,36,25000,600,CHIMALHUACAN,CHIMALHUACAN,BACHILLERATO,MEXICO,SOLTERO,MEXICO,FEMENINO,CHIMALHUACAN_2,VENTA_DE_ROPA,FAMILIAR
163596,19042,1800,3000,19042,0,6000,39,24000,1000,CHIMALHUACAN,CHIMALHUACAN,BACHILLERATO,MEXICO,UNION LIBRE,MEXICO,FEMENINO,CHIMALHUACAN_2,FABRICA/TALLER/ELABORACION/REPARACION,PROPIA
163579,9684,2500,2000,9684,0,20000,38,80000,10000,CHIMALHUACAN,CHIMALHUACAN,SECUNDARIA,MEXICO,SOLTERO,MEXICO,FEMENINO,CHIMALHUACAN_2,TORTILLERIA/MOLINO,FAMILIAR
163588,13328,2100,4500,13328,0,50000,41,200000,10000,CHIMALHUACAN,CHIMALHUACAN,BACHILLERATO,MEXICO,SOLTERO,MEXICO,FEMENINO,CHIMALHUACAN_2,VENTA_DE_ROPA,FAMILIAR
163594,11165,2000,1000,11165,0,9000,72,36000,3000,CHIMALHUACAN,CHIMALHUACAN,SECUNDARIA,MEXICO,SOLTERO,MEXICO,MASCULINO,CHIMALHUACAN_2,HERRERIA,PROPIA
163697,9706,2500,2800,9706,0,5000,33,20000,1000,CHIMALHUACAN,CHIMALHUACAN,BACHILLERATO,MEXICO,SOLTERO,MEXICO,FEMENINO,CHIMALHUACAN_2,FABRICA/TALLER/ELABORACION/REPARACION,FAMILIAR
163853,6836,950,2400,6836,1,3000,28,12000,1000,IXTAPALUCA,IXTAPALUCA,BACHILLERATO,MEXICO,UNION LIBRE,MEXICO,FEMENINO,IXTAPALUCA,VENTA_DE_ROPA,PROPIA
163692,5200,1150,2800,5200,0,3000,50,12000,1500,IXTAPALUCA,IXTAPALUCA,SECUNDARIA,MEXICO,UNION LIBRE,MEXICO,FEMENINO,IXTAPALUCA,JOYERIA/BISUTERIA/FUNDICION,PROPIA
163926,5600,600,1500,0,0,900,57,3600,200,IXTAPALUCA,IXTAPALUCA,SIN_ESTUDIOS,MEXICO,CASADO,MEXICO,FEMENINO,IXTAPALUCA,VENTA_DE_ROPA,FAMILIAR
163133,6800,1100,1000,6800,0,6500,50,26000,2500,TLAHUAC,TLAHUAC,BACHILLERATO,DISTRITO_FEDERAL,DIVORCIADO,DISTRITO_FEDERAL,FEMENINO,TLAHUAC,VENTA_DE_ALIMENTOS,FAMILIAR
163438,6200,2300,1500,6200,1,8000,42,32000,3000,TLAHUAC,TLAHUAC,SECUNDARIA,DISTRITO_FEDERAL,CASADO,DISTRITO_FEDERAL,FEMENINO,TLAHUAC,ABARROTES/MISCELANEAS/PERECEDEROS,FAMILIAR
163450,5600,1800,1500,5600,1,5000,22,20000,1500,TLAHUAC,TLAHUAC,BACHILLERATO,DISTRITO_FEDERAL,SOLTERO,DISTRITO_FEDERAL,FEMENINO,TLAHUAC,VENTA_POR_CATALOGO,FAMILIAR
