,id_distribuidor,probs,grupo,cosecha_canasta
10290,133271,0.659,3,4.97
10291,133275,0.7242000000000001,2,3.4
10292,133276,0.99,1,1.54
10293,133285,0.2307999999999999,8,12.68
10294,133297,0.999,1,1.54
10295,133304,0.3663,6,11.87
10296,133305,0.2016,8,12.68
10297,133307,0.392,6,11.87
10298,133308,0.7106,3,4.97
10299,133310,0.6629,3,4.97
10300,133312,0.3497,7,12.35
10301,133315,0.247,8,12.68
10302,133317,0.5128,5,10.69
10303,133321,0.999,1,1.54
10304,133335,0.992,1,1.54
10305,133337,0.6299,4,7.38
10306,133356,0.417,6,11.87
10307,133357,0.997,1,1.54
10308,133368,0.4564,5,10.69
10309,133369,0.3024,7,12.35
10310,133370,0.985,1,1.54
10311,133377,0.995,1,1.54
10312,133387,0.4886999999999999,5,10.69
10313,133390,0.4786999999999999,5,10.69
10314,133391,0.764,2,3.4
10315,133409,0.5665,4,7.38
10316,133410,0.6973,3,4.97
10317,133411,0.7620999999999999,2,3.4
10318,133416,0.7339,2,3.4
10319,133422,0.3818999999999999,6,11.87
10320,133423,0.7059000000000001,3,4.97
10321,133425,0.1687,9,20.33
10322,133431,0.5658,4,7.38
10323,133437,0.986,1,1.54
10324,133446,0.6835,3,4.97
10325,133456,0.985,1,1.54
10326,133464,0.997,1,1.54
10327,133470,0.7086,3,4.97
10328,133488,0.4404999999999999,6,11.87
10329,133489,0.996,1,1.54
10330,133495,0.4813,5,10.69
10331,133496,0.5540999999999999,4,7.38
10332,133497,0.5792,4,7.38
10333,133502,0.988,1,1.54
10334,133512,0.713,3,4.97
10335,133521,0.999,1,1.54
10336,133528,0.2915,7,12.35
10337,133529,0.5845,4,7.38
10338,133530,0.5081,5,10.69
10339,133531,0.6759000000000001,3,4.97
10340,133533,0.2525,8,12.68
10341,133534,0.5088,5,10.69
10342,133536,0.6233,4,7.38
10343,133538,0.2603,8,12.68
10344,133546,0.985,1,1.54
10345,133552,0.991,1,1.54
10346,133564,0.995,1,1.54
10347,133590,0.985,1,1.54
10348,133600,0.46,5,10.69
10349,133605,0.3984,6,11.87
10350,133616,0.989,1,1.54
10351,133629,0.3731,6,11.87
10352,133634,0.99,1,1.54
10353,133644,0.5377000000000001,5,10.69
10354,133671,0.3676,6,11.87
10355,133683,0.545,4,7.38
10356,133685,0.293,7,12.35
10357,133686,0.4976,5,10.69
10358,133688,0.425,6,11.87
10359,133690,0.5716,4,7.38
10360,133691,0.7253000000000001,2,3.4
10361,133693,0.6461,3,4.97
10362,133711,0.4939,5,10.69
10363,133712,0.3281,7,12.35
10364,133713,0.3572999999999999,7,12.35
10365,133715,0.6361,3,4.97
10366,133716,0.3502,7,12.35
10367,133717,0.557,4,7.38
10368,133719,0.6572,3,4.97
10369,133723,0.2696,8,12.68
10370,133724,0.5257999999999999,5,10.69
10371,133725,0.294,7,12.35
10372,133747,0.2452,8,12.68
10373,133748,0.3005,7,12.35
10374,133749,0.2512,8,12.68
10375,133752,0.2323,8,12.68
10376,133754,0.996,1,1.54
10377,133766,0.2782,7,12.35
10378,133770,0.987,1,1.54
10379,133778,0.3429,7,12.35
10380,133781,0.3958,6,11.87
10381,133785,0.993,1,1.54
10382,133802,0.3226,7,12.35
10383,133805,0.993,1,1.54
10384,133840,0.992,1,1.54
10385,133862,0.989,1,1.54
10386,133872,0.999,1,1.54
10387,133885,0.7428,2,3.4
10388,133887,0.428,6,11.87
10389,133888,0.5397000000000001,5,10.69
10390,133891,0.6248,4,7.38
10391,133897,0.2951,7,12.35
10392,133899,0.7703,2,3.4
10393,133901,0.994,1,1.54
10394,133915,0.7111,3,4.97
10395,133918,0.6597,3,4.97
10396,133923,0.6612,3,4.97
10397,133940,0.992,1,1.54
10398,133950,0.996,1,1.54
10399,133959,0.998,1,1.54
10400,133968,0.3126,7,12.35
10401,133969,0.993,1,1.54
10402,133977,0.4593,5,10.69
10403,133978,0.2261,8,12.68
10404,133980,0.2054,8,12.68
10405,133982,0.3536999999999999,7,12.35
10406,133983,0.5547,4,7.38
10407,133986,0.3161,7,12.35
10408,133987,0.4731,5,10.69
